text_col_1,text_col_2
Mängu eesmärk:,
Olla viimane mängija mängulaual.,
Üldist.,
Mängulaud (sarnane „monopoli” lauamänguga) koosneb 34-st eraldiseisvast  ruudust.,
"Igaks mänguks genereerib arvuti uue mängulaua, kus esimene ruut on alati „Royal court” ; kõik teised ruudud paigutatakse arvuti poolt mänguväljale „juhuslikult”.",
"Igal mängijal on oma käiku alustades 3 tegevuspunkti (actionpoint-i, vastavalt: hommik, lõuna, õhtu). St., et iga mängija saab oma käigu jooksul teha nö. kolm tegevust.",
Alustuseks saab iga mängija 200 kulda ja  relvaks noa. Elupunkte (hitpoints) on alguses 20.,
"Kui mängijal langevad elupunkid 0-i, siis on mäng tema jaoks lõppenud.",
"Mäng on lõppenud, kui mänguväljale on jäänud üks või vähem mängijaid. Kui mängijad saavad surma üheaegselt (sama mängija ühe turni (samal päeval) ajal) , siis on tulemuseks viik.",
Mängus sagedamini esinevate mõistete selgitused:,
„Hitpoints”- elupunktid.,
"Elupunkte saadakse puhates, ravijooke juues, tervistavat loistsu lausudes, taastudes (taastumise määr sõltub füüsilisest jõust vt.”Strength”).",
"„Strength”- ramm, füüsiline jõud. Temast sõltub millised relvi suudad sa käsitseda ja kui tugevalt suudad sa vastaseid lüüa. Samuti mõjutab ta sinu elupunktide taastumise kiirust ja võimet taluda erinevaid (loodus) elemente nagu tuli, vesi, maa, õhk. Lisaks annab iga 4-s strength-i punkt ühe „armor-i”.",
"„Dexterity”- osavus, siin ka - kiirus. Dexteritist sõltub, kas põgenemiskatse on tõenäoline või mitte (sellest võib tihti oleneda sinu elu), samuti sinu võime tabada lahingust pageda püüdvaid vastaseid. Lisaks annab iga 5-s dexterity ühe lisalöögi.",
"„Power”- vägi, võluvõime. Power-ist sõltub sinu loitsude (spellide) tugevus ja kestvus. Lisaks annab suurem power võime vastu seista vastase loitsudele.",
"„x1dx2 damage_type damage” – näitab kui palju elupunkte suudad sa ühe löögiga vastaselt vähemaks võtta. x1dx2 vastab täringu veeretusele, kus x1 näitab mitu korda täringut veeretatakse ja x2 näitab mitmetahuline see täring on (st. et 1d10 puhul veeretatakse 10 tahulist täringut (igale tahule vastab üks nr. antud juhul siis‚ 1-st kuni 10-ni) ühe korra (sest x1=1)). damage_type viitab kasutuses olevale relvatüübile. Erinevaid relvatüüpe on kolm: torkerelvad (piercer-id), lõikerelvad (slasher-id) ja kõikvõimalikud nuiad  (crusher-id).",
"„Pierce”- torkama, pistma. Torkerelvade (piercers) eripäraks on võime lüüa vastast ka läbi tema kaitseturvise (armori). Nende käsitsemiseks piisab  ka suhteliselt madalast füüsilisest jõust (strength).",
"„Slash”- raiuma, lõikama. Lõikerelvade (slashers) eripäraks on võime lüüa vastasele sügavaid haavu, mis verd joostes kiirendavad tema elupunktide (hitpoints) kaotust. Seda tüüpi relvade edukaks käsitsemiseks on üldjuhul tarvis suuremat füüsilist jõudu kui 2.",
"„Crush”- tümitama, purustama. Nuiade (crushers) eripäraks on võime jagada vastasele hoope, mis löövad ta oimetuks. Nende  relvade käsitsemine nõuab suurt füüsilist jõudu.",
„Attack(s) per round”- löökide arv ühes roundis.,
"„Armor”- siin kaiteseturvis. Leevendab, neelab vastase poolt sulle antud lööke.",
"„Mana”- mana. Loitsude nõidumiseks vajalik energia. Mana on võimalik saada maadest, võlujookidest, maagilistest asjadest. Iga loits, mida sa soovid nõiduda vajab teatud hulka  mana.",
"„Stat” – (üks kolmest: strength,dexterity,power) mängija tugevust iseloomustav omadus.",
„Round”- round. Tähendab (täis)ringi. Üks round vastab kestvuselt ühele tegevuspunktile.,
„Defender”- kaitsja. Maad kaitsev koll.,
„Tax income”- maalt saadav sissetulek.,
"„Healing value” – puhkeväärtus. Näitab, kui kiiresti antud maal puhates elupunktid taastuvad.",
„Base income” – maa algne maksumäär.,
"„Fortifications”- kindlustused, ehitised.",
Erinevate ruutude selgitused.,
"„Shop”- pood. Müüakse erinevaid, mitte eriti kalleid asju.",
„Smithy”- sepikoda. Sepikojas on müügil relvad ja turvised.,
„Bazaar” – turg. Turul võidakse müüa „mida iganes”.,
„Library” – raamatukogu. Raamatukogust on võimalik hankida loitse. Lisaks on raamatukogus võimalik arendada sulle juba tuntud loitse.,
"„Mage guild” -  maagi gild. Samuti, saab hankida loitse ning treenida suuremaks oma võluvõimet (power).",
"„Merc.camp”  - (mercenary camp) palgasõdurite laager. Merc.camp-ist on võimalik kulla eest palgata endale palgasõdureid. Mida kõrgem on mängija tiitel, seda rohkem kolle on valmis mängijat teenima.",
„Training G.” – (training grounds) treenimis väljakud. TG.-is on võimalik arendada jõudu ja   osavust.,
"„Shrine” – pühamu, siin ka puhkekoda. Pühamu on suurepärane koht puhkamiseks.",
"„Arc. Tower” – (arcane tower) maagi torn. Üks maagi torn toodab ühes päevas 1 arkaane mana, kaks maagi torni toodavad 1-s päevas 3 arkaane mana, 3 maagi torni toodavad 6 ja  4 maagi torni ühe mängija omanduses toodavad 10 arkaane mana päevas.",
,Oma torni peale tagasi sattudes saad kasutada võimalust teleportida valikuliselt kõikidesse siin ülesloetud kohtadesse.
"„Cave” – koobas, koobastik. Millised ootamatused ja sündmused seal Sind võivad oodata – see jääb Sulle endale avastamiseks. Üldiselt suurt ohtu ei ole, küll võib ette tulla erisuguseid takistusi.",
"„T. Island” – (treasure island) „aarete saar”. Millised ootamatused ja sündmused seal Sind võivad oodata – see jääb Sulle endale avastamiseks. Üldiselt suurt ohtu ei ole, küll võib ette tulla erisuguseid takistusi. Vihjeks võib öelda, et lootus leida sealt kulda ja aardeid (aaretel on alati ka kaitsjad) on üsna suur.",
"„Dungeon”- (maa-alune) koobas, vangikong. Seal võib kõike juhtuda.",
Loitsude kirjeldused.,
*Arkaane loitsud. Arkaane mana värviks on kuldne.,
„Magic arrow” – „Maagia nool”. Tulistab maagilise noole ühe vastase pihta (tugevusaste 7).,
"„ Pot of  Gold „ – „Potitäis kulda”. Tekitab kulda (mida suurem võlujõud, seda rohkem).",
„Create Item” – „Tekita asi”. Tekitab uue asja,
„Summon Golem” – „Loo Golem”. Tekitab elusa kivist või rauast kuju.,
*Tule loitsud. Tule mana värviks on punane.,
„Fire bolt” – „Tulenool”. Tulistab maagilist tuld ühe vastase pihta.,
„Fireball” – „Tulekera”. Põletab kõiki vastaseid (kes ühes grupis). (Tugevusaste 6).,
„Summon Fire” – „Loo tulekoll”. Tekitab tulekolli.,
*Maa loitsud. Maa mana värviks on roheline.,
„Armor” – „Maagiline turvis”. Ümbritseb nõiduja (või kelle peale ta loitsu nõidus) maagilise kaitseturvisega.,
„Summon Earth” – „Loo maakoll”. Tekitab maakolli.,
„Earth Hammer” – „Maa haamer”. Laseb maagilise laengu ühe vastase pihta (tugevusaste 7).,
„Summon Beasts” – „Kutsu metsloomi”. Kutsub metsloomad Sulle kaaslasteks.,
*Õhu loitsud. Õhu mana värviks on helesinine.,
„Manipulate Winds” – „Maagiline tuul”. Võimaldab Sul enda ja aeg-ajalt ka teiste liikumist mõjutada.,
„Lighting Bolt” – „ Piksenool”. Tulistab välku ühe vastase pihta (tugevusaste 8).,
„Summon Air” – „Loo õhukoll”. Tekitab õhukolli.,
*Vee loitsud. Vee mana värviks on tumesinine.,
„Frost Bolt” – „Jäänool”. Tulistab maagilist külma ühe vastase pihta (tugevusaste 8).,
„Haste” – „Kiirendus”. Lisab nõidujale (või kelle peale ta loitsu nõidus) kiirust (lisalöök roundis),
"„Blizzard” – „Lumetorm”. Jäätab kõiki vastaseid (ühte  gruppi, kelle peale oli lumetorm nõitud). (Tugevusaste 5).",
„Summon Water” – „Loo veekoll”. Tekitab veekolli.,
*Musta maagia loitsud. Musta maagia mana värviks on sinakashall.,
"„Death Grasp” – „Surma haare”. Tulistab maagilise musta noole, mis võtab vastaselt elu(punkte) ja lisab need nõidujale. (Tugevusaste 7)",
„Raise Dead” – „Ärata surnuid”. Äratab surnuid (tugevusastmele vastavalt) Sind teenima.,
„Unholy Strength” – „Kurjuse jaks”. Suurendab nõiduja (või kelle peale ta loitsu nõidus) füüsilist jõudu.,
*Valge maagia loitsud. Valge maagia mana värviks on valge.,
„Heal” – „Paranda haavu”. Annab elu(punkte) juurde.,
„Summon Angel” – „Kutsu ingel”. Kutsub teavast ingli appi.,
„Spirit Guardian” – „Kutsu kaitsevaim”. Kutsub välja kaitsevaimu Sulle kaaslaseks.,
"„Wrath of God” – „Jumalate viha”. Kutsub välja võimsa laengu, mis tabab kõiki ühes (vastas) grupis olijaid. (Tugevusaste 7).",
Erinevate maade kirjeldused.,
"Kõikidel maadel on võimalik ehitada: kindlustusi ( 3 astet), fletcheri-t ja archery guildi. Kõikidel maadel on võimalik maa kaitsjaid asendada neljada tugevustaseme kollidega.",
"„Valley” – org. Annab valge maagia mana. Orgu on võimalik ehitada lisaks: life altari (annab „heal” loitsu), life templi (annab „summon angel” loitsu), barracksi (barracks-ist saab palgata swordman-e). Maa kaitsjad on vastavalt tugevuse järjekorrale: pikeman, swordman, knight ja paladin.",
"„Forest” – põlismets. Annab maa(earth) mana. Põlismetsa on võimalik ehitada lisaks: earth altari (annab „armor” loitsu) ja earth templi (annab „summon beasts” loitsu). Maa kaitsjad on vastavalt tugevuse järjekorrale: wolf, bear, treant ja druid.",
"„Highland” – kõrgmaa. Mana ei anna. Kõrgmaale on võimalik ehitada lisaks: fighting pitsi (annab lisalöögi ühes roundis) ja stablesi (võimalik palgata horseman-e. Maa kaitsjad on vastavalt tugevuse järjekorrale: barbarian, horseman, warchief  ja titan.",
"„Hill” – küngas,künkad. Annab tule(fire) mana. Künkale on võimalik ehitada lisaks: fire altari (annab „firebolt” loitsu) ja fire templi (annab „summon fire” loitsu). Maa kaitsjad on vastavalt tugevuse järjekorrale: orc, troll, hill giant ja devil.",
"„Mountain” – mägi. Annab tule(fire) mana. Mäele on võimalik ehitada lisaks: fire altari (annab „firebolt” loitsu) ja fire templi (annab „fireball” loitsu). Maa kaitsjad on vastavalt tugevuse järjekorrale: dwarf, golem, battlemaster ja rock giant.",
