name,type,col_2,col_3,mana_cost,col_5,mana_type,effect_type,col_8,description,base_power,col_11,col_12,col_13,summon_1,summon_2,summon_3,summon_4,col_18,col_19,col_20,flag_1,col_22,flag_2,col_24,flag_3,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,name_en,description_en,name_et,description_et
Maagia nool,1,0,0,3,0,10,11,10,tulistab maagilise noole ühe vastase pihta (Tugevusaste 7),7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Magic Arrow,shoots an magical arrow at single target (Base damage 7),Maagia nool,tulistab maagilise noole ühe vastase pihta (Tugevusaste 7)
Kullapott,2,0,0,0,0,10,8,12,"tekitab veidi kulda (mida rohkem võlujõudu, seda rohkem kulda)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Pot of Gold,"generates some gold (the more power and knowledge, the more gold)",Kullapott,"tekitab veidi kulda (mida rohkem võlujõudu, seda rohkem kulda)"
Tekita asi,2,0,0,0,0,10,8,12,"tekitab uue asja (mida rohkem võlujõudu, seda paremad asjad)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Create Item,creates an item (the more power and knowledge gives chance at better items),Tekita asi,"tekitab uue asja (mida rohkem võlujõudu, seda paremad asjad)"
Loo golem,2,0,0,0,0,10,0,15,"tekitab golemi - elusa kivist või rauast kuju, kes jääb nõiduja käsutusse.",0,0,0,Savi Golem,Kivi Golem,Raud Golem,Teras Golem,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Summon Golem,summons a golem to serve you,Loo golem,"tekitab golemi - elusa kivist või rauast kuju, kes jääb nõiduja käsutusse."
Tulenool,1,0,0,0,0,4,11,20,tulistab maagilist tuld ühe vastase pihta (Tugevusaste 9),9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Fire Bolt,shoots magical arrow at single target (Base damage 9),Tulenool,tulistab maagilist tuld ühe vastase pihta (Tugevusaste 9)
Tulekera,1,0,0,0,0,4,12,40,põletab kõiki vastaseid ühes grupis (Tugevusaste 6),6,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Fireball,does magical fire damage to all enemies in a group (Base dam 6),Tulekera,põletab kõiki vastaseid ühes grupis (Tugevusaste 6)
Loo tulekoll,2,0,0,0,0,4,8,40,"tekitab tulekolli, kes jääb nõiduja käsutusse.",0,0,0,Tule Elemental,Tule Elemental,Tule Elemental,Tule Elemental,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Summon Fire,summons fire elemental to serve you.,Loo tulekoll,"tekitab tulekolli, kes jääb nõiduja käsutusse."
Maagiline turvis,3,0,0,0,0,5,0,15,ümbritseb nõiduja (või kelle peale ta loitsu pani) maagilise kaitseturvisega,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,Armor,increases targets armor class.,Maagiline turvis,ümbritseb nõiduja (või kelle peale ta loitsu pani) maagilise kaitseturvisega
Loo maakoll,2,0,0,0,0,5,8,40,"tekitab maast tehtud kolli, kes jääb nõiduja käsutusse.",0,0,0,Maa Elemental,Maa Elemental,Maa Elemental,Maa Elemental,1,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Summon Earth,summons earth elemental to serve you.,Loo maakoll,"tekitab maast tehtud kolli, kes jääb nõiduja käsutusse."
Maa haamer,1,0,0,0,0,5,11,20,tulistab maagilise laengu ühe vastase pihta (Tugevusaste 7),7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Earth Hammer,creates a magical hammer that throws itself to target (Base damage 7),Maa haamer,tulistab maagilise laengu ühe vastase pihta (Tugevusaste 7)
